Knowledge,Platform,Framework,ProgrammingLanguage,Tool
SOLID,STRIPE,ANGULAR,SAAS(SOFTWARE-AS-A-SERVICE),QTP
DOMAIN,HEROKU,J-QUERY,JAVA EE,UFT
BIG DATA,DROPBOX,TWITTER BOOTSTRAP,ANSIBLE,PHOTOSHOP
LAMBDA ACCHITECTURE,AMAZON WEB SERVICES,TWITTER BOOTSTRAP 3,CHEF,ECLIPSE
DESIGN PATTERN,EC2,TWITTER BOOTSTRAPTHE,ANDROID SDK,FIREFOX
CI/CD,AWS EC2,TESTCOMPLETE,GOOGLE PLAY,ANDROID STUDIO
SOFTWARE PRODUCT MANAGEMENT,GOOGLE MAPS,PROTRACTOR,WEBASSEMBLY,WINDOWS
SOFTWARE DEVELOPMENT LIFE CYCLE,GMAIL,VOLLEY,APP STORE,OS X
DEVOPS,NODE JS,HIBERNATE,KICKSTARTER,SELENIUM IDE
RDBMS,AMAZON APPSTORE,WEBJARS,PATREON,ANT
DISTRIBUTED SYSTEM,NEXUS,SPRING SECURITY,MEDIUM,MAVEN
CLOUD COMPUTING,LOLLIPOP APIS,SPRING,SIMMER,AJAXYFIY
CONTAINERS,ANDROID APIS,USE SPRING SECURITY,WORDPRESS,MS SQL SERVER
UNIT TEST,AMAZON S3,SPRING MVC,FIREBASE,PHOTOSHOP CS6
REST API,GOOGLE MAPS API,LOG4J,GITHUB PAGES,DREAMWEAVER
WEB SOCKET,STRIPE API,KICKSTART,FIREBAS,DREAMWEAVER CS6
TEST CASES,GOOGLE ADSENSE,CODEIGNITER,GOOGLE CLOUD,FONT-AWESOME
SOFTWARE TESTING,GOOGLE+,CODEIGNITERS,JAVA DEVELOPMENT KIT,GOOGLE FORMS
SMOKE TESTING,GOOGLE HANGOUTS,UNITY,APACHE,FORMS TOOL
FUNCTIONAL TESTING,SOAPUI,UNIT,APPLE ITUNES,GOOGLE CHROME
USABILITY TESTING,API,CUCUMBER,AZURE SYNAPSE ANALYTICS SERVICE,PHOTOSHOP CS
SECURITY TESTING,SOAPWEB,SELENIUM WEBDRIVERX,AZURE SYNAPSE,ADOBE DREAMWEAVER
PERFORMANCE TESTING,JAVA API,SAUCE LABS,MICROSOFT SYNAPSE ANALYTICS SERVICE,BITRATE VIEWER
REGRESSION TESTING,GITHUB PAGES SERVICE,SELENIUM GRID,AMAZON WEB SERVICES,SORENSON SQUEEZE
COMPLIANCE TESTING,ANDROID LOLLIPOP,REST HYBRID FRAMEWORK,HDFS,HANDBRAKE
EMBEDDED SOFTWARE,GOOGLE CLOUD MESSAGING,AQUERY,HADOOP HIVE,APPLE COMPRESSOR1
MICROPROCESSORS,ANDROID LOLLIPOP APIS,ANDROID GRAPHICS,HADOOP PIG,MEDIAINFO
WATERFALL,GOOGLE GEOFENCES,ACTION BAR SHERLOCK,HADOOP FILE SYSTEM,AUDITION
DATABASE TESTING,GOOGLE SIGN IN,ROBOELECTRIC,SAAS,NEAT VIDEO
MANUAL TESTING,GEOFENCES,ANDROID SUPPORT≠V4,IAAS,PREMIERE PRO
BEHAVIOR-DRIVEN DEVELOPMENT,PALETTE API,ANDROID SOUNDPOOL,ORACLE DATABASE CLOUD,ADOBE MEDIA ENCODER
TEST-DRIVEN DEVELOPMENT,GOOGLE SING IN API,STARTACTUVITYFORRESULT,PAAS,MPEG STREAMCLIP
USER INTERFACE (UI),FACEBOOK API,ONACTIVITYRESULT,ORACLE CLOUD DATABASE,FCPAND X
WIREFRAME,PAYPAL,MYSQL,DBAAS,FCPX
PROTOTYPE,ZOHO,UNREAL ENGINE,GCP,APPLE COMPRESSOR
COLOR,MAILCHIMP,JIRA,GOOGLE CLOUD PLATFORM,POWERPOINT
USER RESEARCH,SAUCELABS,GIT,PIG,TELESTREAM EPISODE
FIREWALL,SERVICIO DE SIMPLE STORAGE,JENKINS,HBASE,IZOTOPE RX3
VPN,VPC,TRAVIS,HIVE,WYSIWYG
EMAIL FILTER,NUBE PRIVADA VIRTUAL,POSTMAN,BIGQUERY,SUBLIME TEXT EDITOR
SEVER,WIX,ANDROID STUDIO,KUBERNETE,SQLITE
DATABASES,PARSE,UNREAL,CLOUD SQL,MATERIAL DESIGN
TCP/IP,GOOGLE≠PLAY≠SERVICES,MICROSOFT SQL SERVER,GCE,CSV DATABASES
VLAN,GOOGLE DIRECTIONS,SSIS,GOOGLE COMPUTE ENGINE,JQUERY
ROUTING,YOUTUBE API,SQL SERVER,REDSHIFT,TRELLO
SWITCHING,PANDAS,SSAS,AZURE STREAM ANALYTICS,JSR9
PROXY,BOOTSTRAP,ORACLE DATABASE,BIG QUERY,TOMCAT
MPLS,ASP.NET CORE MVC,ORACLE DATABASEC,GOOGLE'S CLOUD,A
NETWORK MONITORING,CHART JS,TOAD,GOOGLE CLOUD DATAPROC,LOLLIPOP0
NETWORK TROUBLESHOOTING,ENTITY FRAMEWORK CORE,SQL DEVELOPER,CLOUD DATAPROC,LOLLIPOP
CYBERSECURITY,JQUERY,RMAN,ELASTICSEARCH),QUIZZER
MICROSERVICES,AJAX,LINUX,MAPREDUCE,JENKINS
FAILOVER,ASP.NET,SQLITE,ELASTICSEARCH,LOG4J
LOAD BALANCING,ASP.NET MVC,ZEPPELIN,APACHE PIG,SOAPUI
PAAS,SELENIUM,YARN,MR,SOAP UI PRO
API,SPECFLOW,ZOOKEEPER,APACHEHIVE,SOAP UI
SCRAPING,SPRING BOOT,HUE,SQOOP,SCRIPT ASSERTIONS
PDF,SPRING MVC,OOZIE,PHOENI,GEOFENCING APP
WEB DEVELOPMENT,SPRING,MESOS,PRESTO,ANDROID KITKAT4
DYNAMIC WEBSITE,TDD,QWIKLABS,AMBARI,GRADLE
APIS,XUNIT,QUICK BI,CASSANDRA,MEDIA PLAYER
DOM API,LIBGDX,DATA ANALYSIS,SPARK STREAMING,ECLIPSE ADT
WEBSITE PERFORMANCE,KIVY,BIG DATA,FLINK,GRADE
CRITICAL RENDERING PATH,PYGAME,GOOGLE SHEETS,STORM,ANDROID SUPPORT≠V4
WEB PERFORMANCE,WEBGL,MICROSOFT POWER BI,DRILL,APP DEVELOPMENT
JSON,SOCKET-IO,EXCEL PIVOT TABLES,FLUME,MVVM
SOFTWARE TESTING,SPRITEKIT,POWER PIVOT,KAFKA,MVP
PROGRAMMING,REACT JS,TIDYVERSE,HORTONWORKS,MODEL-VIEW-VIEWMODEL
WEB DESIGN,REACT,GGPLOT2,MICROSOFT AZURE,AUTO SCALING
MOBILE APPLICATIONS DEVELOPMENT,REDUX,DATA VISUALIZATION,CLOUDANT,MICROSERVICES
SOUND EDITING,HADOOP,DATAFRAME,IBM CLOUDANT,PTLC
ANDROID APPS,SPARK,CSV FILES,SAS VIYA,REST API
ANDROID APP,SPARK MLLIB,FACT,SAS,PERFORMANCE TESTING LIFE CYCLE
MOBILE APPLICATION,APACHE SPARK,SCIKIT-LEARN,MAXCOMPUTE,DEVOPS
GRAPHICS EDITING,TENSORFLOW,NUMPY,HADOOP,MICROSERVICE-BASED SYSTEM
ASO,TENSOR FLOW,MATPLOTLIB,GOOGLE EARTH ENGINE,TESTING PYRAMID
WIREFRAMING,SCIPY,IBMS FRAMEWORK,GOOGLE DATA STUDIO,AUTOMATED SOFTWARE TESTING
UI DESIGN,MATPLOTLIB,DJANGO,SPARQL,REST APIS
WIREFRAME,NUMPY,AB TESTING,SCALA,UNITTEST
MOBILE APP,SEABORN,PORTABLE DATA OBJECTS,SPARK,KPIS
MOBILE APPS,SPYDER,PDO,C/C++,SOFTWARE DEVELOPMENT
WEBELEMENT INTERFACE,D3,SHINY,MATPLOTLIB,SDLC
XPATH,D3.JS,RAND,PANDAS,SOFTWARE DEVELOPMENT LIFECYCLE
XPATHS,MYSQL,LEAFLET,VISUAL BASIC,GAME DEVELOPMENT
PARSE WEBSITE,SCIKIT-LEARN,WINFORMS,QUERY LANGUAGES,ANDROID GAME DEVELOPMENT
CLOUD SERVER,SPARK SQL,GOOGLEVIS,GGPLOT2,GAME PROGRAMMING
INTERNET,SPARK GRAPHFRAMES,REQUESTS,nan,GAME ARCHITECTURE
AJAX,SPARK DATAFFRAMES,LIGHTGBM,nan,DESIGN PATTERNS
HTTP,URLLIB2,XGBOOST,nan,OBJECT ORIENTED PROGRAMMING
CONTINUOUS INTEGRATION,BEAUTIFULSOUP,APACHE SPARK,nan,ALGORITHM
DEVELOPMENT PROCESS,SCIKIT LEARN,SPARK SQL,nan,WEB DEVELOPMENT
DRAG AND DROP API,TABLEAU,WOOCOMMERCE,nan,API
TECHNICAL DESCRIPTION,PYSPARK,ROBOGUICE,nan,APPDEVELOPMENT
TEST AUTOMATION,PYSPARK API UTILITY,MS SQL SERVER,nan,VIRTUAL REALITY
CSS SELECTORS,MAPREDUCE,MSSQL,nan,AI
WEBDRIVERWAIT,COREML,SQL SERVER MANAGEMENT STUDIO,nan,ARTIFICIAL INTELLIGENCE
RESPONSIVE SINGLE PAGE,TENSFORFLOW,XAMPP,nan,VIRTUAL REALITY GAMES
RAPID DEVELOPMENT,DATA ANALYSIS,PHPMYADMIN,nan,VR
DOMAIN NAME,CLOUD,VISUAL STUDIO,nan,GAME APP DEVELOPMENT
FTP,DATAFLOW,BABYLONJS,nan,BI
WEBHOSTING,APACHE BEAM,XCODE,nan,DATABASE
WEB HOSTING,JUPYTER NOTEBOOKS,JUPYTER NOTEBOOK,nan,AZURE STORAGE
AJAX CALLS,SAS VIYA,IBM WATSON STUDIO,nan,SYNAPSE DATA WAREHOUSE
IDENTITY SERVER,SAS VISUAL ANALYTICS,WATSON STUDIO,nan,DATA FACTORY
CODE FIRST APPROACH,BIGQUERY,DATABASE,nan,DATA WAREHOUSE
MVVM PATTERN,CATALYST,DBMS,nan,BACKUP AND RESTORE
MVC,TUNGSTEN,RELATIONAL DBMS,nan,BIG DATA ANALYTICS
AUTHORIZATION,IBM COGNOS ANALYTICS,DATA MODEL,nan,AZURE SECURITY
REPOSITORY PATTERN,CLOUDTRAIL,DATABASE MANAGEMENT SYSTEMS,nan,DATA LAKE
RESPONSIVE,AWS QUICKSIGHT,PYCHARM,nan,AZURE MONITORING
AUTHENTICATION,ATHENA,BEAM PORTABILITY,nan,DATA ANALYTICS
DESIGNING DATABASE,CLOUD DATAPREP,POLYBASE,nan,DATA WAREHOUSING
EF DATABASE FIRST,CLOUD SQL,DATASET,nan,SECURITY
DESIGN PATTERN,PIG,STORM,nan,SLOWLY CHANGING DIMENSION (SCD)
CODE FIRST APROACH,DATAPROC,ASYLO,nan,ETL
DEPENDENCY INJECTIONS,GOOGLE DATA STUDIO,CORDOVA,nan,CLOUD COMPUTING
ITERATOR PATTERN,STATSMODELS,PHOTOSHOP,nan,PERFORMANCE MANAGEMENT
MOBILE APPLICATIONS,MICROSOFT AZURE,FIREBASE,nan,MONITORING
RIA,AZURE SYNAPSE ANALYTICS,GITLAB,nan,RECOVERY
RICH INTERNET APPLICATION,AZURE HDINSIGHT,BUGZILLA,nan,ENCRYPTED BACKUPS
RESPONSIVE WEBSITE,AZURE DATABRICKS,VUFORIA,nan,BACKUP
DSL,PENTAHO DATA INTEGRATION,UNITY3D,nan,RAC
SINGLE PAGE APPLICATIONS,UNITY,LIBGDX,nan,NEURAL NETWORK
DOMAIN SPECIFIC LANGUAGE,DATA FACTORY,STENCYL,nan,DEEP LEARNING
DATA VALIDATION,DATABRICKS,SQLSERVER AGENT,nan,BIG DATA
REAL TIME APPLICATION,COMMERCIAL CLOUD,REPORTING SERVICES,nan,MACHINE LEARNING
MVW APPROACH,SPLITS API,TABLEAU,nan,SUPERVISED
SPA,TFDS API,POWER BI,nan,LINEAR REGRESSION
WEB APPLICATION,TENSORFLOW HUB,SSMS,nan,L1 DISTANCE
XHR,TENSORFLOW DATA SERVICES APIS,SQL SERVER( MICROSOFT SQL SERVER),nan,GRADIENT DESCENT
SINGLE PAGE APPLICATION,HORTONWORKS,SQL SERVER INTEGRATION SERVICES,nan,TENSORS
RESPONSIVE DESIGN,QWIKLABS,SQL SERVER MASTER DATA SERVICES,nan,LOGISTIC REGRESSION
SELF-HOSTING,APACHE HIVE,SQL SERVER DATA QUALITY SERVICES,nan,K-NEAREST NEIGHBORS
FRONT-END WEB,GOOGLE CLOUD LABS,SQL SERVER REPORTING SERVICES (SSRS),nan,COMPUTING
FRONT END DEVELOPMENT,CLOUD DATA FUSION,SQL SERVER INTEGRATION SERVICES (SSIS),nan,REGRESSION
WEB DEVLOPMENT,IBM SPSS STATISTICS,MARIADB,nan,K- NEAREST NEIGHBOUR
SEARCH ENGINE OPTIMISATION,GOOGLE,IBM DB2,nan,LOGIT
WEBSITE DESIGN,QUICK BI,POSTGRESQL,nan,NEURAL NETWORKS
AFFILIATE MARKETING,MAXCOMPUTE,MICROSOFT SQL SERVER MANAGEMENT STUDIO,nan,NATURAL LANGUAGE PROCESSING
FRONT-END WEB DEVELOPMENT,CLOUD DATAFLOW,MICROSOFT SQL SERVER CONFIGURATION MANAGER,nan,DATA VISUALIZATION
MOBILE DESIGN AND DEVELOPMENT,CLOUD DATAPROC,SSRS,nan,MODELLING
MOBILE WEB,GOOGLE CLOUD LAB,SQL SERVER ANALYSIS SERVICES (SSAS),nan,STATISTICAL TESTS
RESPONSIVE WEB DESIGN,ALIBABA CLOUD,SSDT,nan,SENTIMENTAL ANALYSIS
MODERN WEB DEVELOPMENT,nan,MASTER DATA SERVICES (MDS),nan,STATISTICS
MOBILE DEVELOPMENT,nan,DATA QUALITY SERVICES ( DQS ),nan,MACHINE LEARNING ALGORITHM
ENCODING CONFIGURATIONS,nan,PGADMIN,nan,BIG DATA ANALYSIS
ENCODING RECIPES,nan,ORACLE DATABASES,nan,DISTRIBUTED LOGS
AUDIO COMPRESSION,nan,AWR,nan,SEARCH ENGINES
CONTAINER FORMATS,nan,ORACLEC DATABASE,nan,TIME-SERIES DATABASES
ENCODING PARAMETERS,nan,ORACLE ENTERPRISE MANAGER,nan,GRAPH DATABASES
STREAMING VIDEO,nan,OEM,nan,RELATIONAL DATABASE SYSTEMS
ASPECT RATIO ISSUES,nan,RDBMS,nan,SQL-ON-HADOOP
DEINTERLACING,nan,ORACLEG,nan,REAL TIME STREAMING SYSTEMS
STREAMING,nan,ORACLEC,nan,RDBMS
H.264,nan,EM EXPRESS,nan,KEY-VALUE STORE
BITRATE CONTROL,nan,V$ VIEWS,nan,WIDE-COLUMNAR STORE
FRAME TYPES,nan,SQLTRACING,nan,NOSQL
WEB APPLICATION DEVELOPMENT,nan,ASH,nan,DOCUMENT-ORIENTED DATABASES
WEB PROGRAMMING,nan,MICROSOFT EXCEL,nan,SQL
E-COMMERCE,nan,MAXQDA,nan,DATA ANALYSIS
EVENT HANDLING,nan,SAP,nan,CONCEPT OF A TENSOR
WEB WORKER API,nan,MATLAB,nan,SERVERLESS ARCHITECTURE
CALLBACKS,nan,R,nan,SERVERLESS DATA ANALYSIS
WEB WORKERS DEVELOPMENT,nan,EXCEL,nan,SERVERLESS
WEB WORKER,nan,MS EXCEL,nan,SUPERVISED LEARNING.
BACKGROUND PROCESSES,nan,EXCEL WORKBOOK,nan,DATA LAKES
CHAT APP DEVELOPMENT,nan,BUSINESS INTELLIGENCE,nan,DATA WAREHOUSES
SOCKETS,nan,EXCELS,nan,RELATIONAL
CHAT APPS,nan,QGIS,nan,CLOUD DATA SERVICES
WORLD WIDE WEB,nan,,nan,CLOUD DATA SERVICE
WEB-SERVICES,nan,QLIKVIEW,nan,ANALYTICS
FRONT-END WEB DESIGN,nan,QLIK,nan,NON-RELATIONAL
LAMP SERVER,nan,LIKVIE,nan,NOSQL DATABASES
DIGITAL GENRE,nan,SAS,nan,BIG DATA PROCESSING
LOCALIZATION,nan,TRIPLE AIM,nan,DATA ENGINEERING
WEBSITE LOCALIZATION,nan,ELASTICSEARCH,nan,PARALLEL PROGRAMMING
DIGITAL GENRES,nan,SPARK MLLIB,nan,RDDS
GLOBALIZATION,nan,MINITAB,nan,DATAFRAMES
WEBSITE LOCALIZATION PROCESS,nan,URLLIB,nan,STREAMING
INTERNATIONALIZATION,nan,nan,nan,RESILIENT DISTRIBUTED DATASETS
LOCALIZATION KIT,nan,nan,nan,NOSQL CLOUD DATABASE
CULTURAL ADAPTATION,nan,nan,nan,GRAPHFRAMES
BUILDING FUNCTIONAL,nan,nan,nan,STATISTICAL PRINCIPLES
MEDIA QUERIES,nan,nan,nan,CHI-SQUARE
MULTIPLE STYLE SHEETS,nan,nan,nan,ANOVA
VARIOUS EXPRESSIONS,nan,nan,nan,PEARSON CORRELATION ANALYSIS
RESPONSIVE WEB LAYOUTS,nan,nan,nan,STATISTICAL TEST
RESPONSIVE DESIGN WORKFLOW,nan,nan,nan,BIG GEOSPATIAL DATA ANALYSIS
ANDROID APP DEVELOPMENT,nan,nan,nan,JUPYTER NOTEBOOKS
RESPONSIVE WEBSITES,nan,nan,nan,JUPYTER
"""HANDS ON"" APPROACH",nan,nan,nan,QGIS
DYNAMIC WEBSITES,nan,nan,nan,POSTGRESQL
HANDS-ON APPROACH,nan,nan,nan,POSTGIS
FRONT END WEB DEVELOPMENT,nan,nan,nan,IOS
RESPONSIVE WEB,nan,nan,nan,MAC
GENERIC WEB DESIGN,nan,nan,nan,MYSQLWORKBENCH
RESPONSIVE WEB DESIGN STRATEGIES,nan,nan,nan,VMWARE
AL,nan,nan,nan,VIRTUALBOX
SOFTWARE ARCHITECTURE,nan,nan,nan,JUPYTER NOTEBOOK
ANDROID PROGRAMMING,nan,nan,nan,WATSON STUDIO
DATA SCRAPING,nan,nan,nan,ARABIC
SCRIPT AUTOMATION,nan,nan,nan,FRENCH
WEB APPLICATIONS,nan,nan,nan,PORTUGUESE (EUROPEAN)
CSV DATABASES,nan,nan,nan,ITALIAN
DATA CLEANING,nan,nan,nan,VIETNAMESE
WEB SCRAPING,nan,nan,nan,GERMAN
SOFTWARE PROJECT MANAGEMENT,nan,nan,nan,RUSSIAN
WEB APPLICATION ARCHITECTURE,nan,nan,nan,ENGLISH
REST SERVICES,nan,nan,nan,SPANISH
MATERIAL DESIGN STYLE,nan,nan,nan,PERSIAN
KHRONOS OPENGL-ES1,nan,nan,nan,COUCH
OPENGL-ES,nan,nan,nan,ORACLE
USER INTERFACE,nan,nan,nan,MONGODB
CONTENT MANAGEMENT SYSTEM,nan,nan,nan,STATA
ECOMMERCE,nan,nan,nan,RSTUDIO
CMS,nan,nan,nan,EXCEL SOLVER
MANAGING WEBSITE CONTENT,nan,nan,nan,VISUAL BASIC EDITOR
PHP,nan,nan,nan,IBM WATSON STUDIO
INTERACTION TESTING,nan,nan,nan,SPREADSHEETS
TDD,nan,nan,nan,ER ASSISTANT
MOCKING,nan,nan,nan,VISUAL PARADIGM
EMBEDDED SOFTWARE,nan,nan,nan,PSQL
XP,nan,nan,nan,R-STUDIO
UNIT TESTS,nan,nan,nan,OMOP
TEST DRIVEN DEVELOPMENT,nan,nan,nan,MIMIC3
SOFTWARE DESIGNS,nan,nan,nan,RAPIDMINER
UNIT TESTING,nan,nan,nan,HIVE
TEST-FIRST THINKING,nan,nan,nan,ECLIPSE IDE
DESIGN PATTERNS,nan,nan,nan,STRUCTURAL ANALYSIS AND DESIGN
SOFTWARE DESIGN AND TESTING,nan,nan,nan,STAAD PRO
AUTOMATION FRAMEWORK DESIGN,nan,nan,nan,STAAD.PRO
WEB UI AUTOMATION,nan,nan,nan,JIRA
CROSS-BROWSER TESTING,nan,nan,nan,WOOCOMMERCE
DATABASE TESTING,nan,nan,nan,FIREWALLS
BEHAVIOR DRIVEN TESTING,nan,nan,nan,CONTROL PANEL'S FILE MANAGER
PERFORMANCE TESTING,nan,nan,nan,CONTROL PANEL'S WEBSITE EDITOR
WEB AUTOMATION,nan,nan,nan,BI LAUNCH PAD
WEBSERVICES TESTING,nan,nan,nan,SAP BUSINESS OBJECTS
WEB SERVICES,nan,nan,nan,JMETER
TESTCASES,nan,nan,nan,APACHE JMETER
WEBSERVICES,nan,nan,nan,GIMP
RESTAPI,nan,nan,nan,RICH TEXT EDITOR
WEBSERVICE,nan,nan,nan,SUBLIME TEXT
API TESTING,nan,nan,nan,CHROME DEVELOPER TOOLS
FRONT END WEB-DEVELOPMENT,nan,nan,nan,WEB ANALYTIC
COMPUTER SCIENCE,nan,nan,nan,MICROSOFT PROJECT13
GOOGLE MAPSAPI,nan,nan,nan,MICROSOFT PROJECT
ANDROID LOLLIPOP APP DEVELOPMENT,nan,nan,nan,NEVADA WORDPRESS
APPLICATION DEVELOPMENT,nan,nan,nan,ADOBE PHOTOSHOP
SEO,nan,nan,nan,LANGUAGE PLUGINS
COMPUTER PROGRAMMING,nan,nan,nan,CPANEL
UNITTEST,nan,nan,nan,BUGZILLA
NOSETESTS,nan,nan,nan,QC
WEBDESIGN,nan,nan,nan,MUSESCORE
FILE CACHE,nan,nan,nan,RABBITMQ
DRAWABLES,nan,nan,nan,AMAUSITEFIVE
MEMORY,nan,nan,nan,AMASUITEFIVE
XML,nan,nan,nan,OBS STUDIO
CANVAS,nan,nan,nan,OPEN BROADCASTER SOFTWARE
ANDROID NATIVE APPLICATION,nan,nan,nan,COREL VIDEO STUDIO
ANDROID APIS,nan,nan,nan,VEGAS PRO
SETUP AND ACCESS THE SHERLOCK EXTENSION,nan,nan,nan,FINAL CUT PRO
ANDROID APPLICATION,nan,nan,nan,IMOVIE
LINKED DATA,nan,nan,nan,ADOBE PREMIERE PRO
SEMANTIC WEB,nan,nan,nan,PINNACLE STUDIO
NUMERICAL SUMMARIES,nan,nan,nan,NAVISWORKS
WEB API,nan,nan,nan,AUTOCAD PLANT
STORYTELLING,nan,nan,nan,AUTOCAD
OPTIMIZATION ALGORITHM,nan,nan,nan,AUTODESK
REGRESSION,nan,nan,nan,REVIT
STATISTICS,nan,nan,nan,AUTOCAD MEP
ANOVA,nan,nan,nan,SMS
CORRELATION ANALYSIS,nan,nan,nan,INFORMATION DESIGN TOOL
DATA SCIENCE,nan,nan,nan,IDT
STATISTICAL THINKING,nan,nan,nan,WEBI
STATISTICAL ANALYSIS,nan,nan,nan,ACCESS10
DESCRIPTIVE STATISTICS,nan,nan,nan,SAP
SPATIAL DATA,nan,nan,nan,WEB INTELLIGENCE
BIG DATA SYSTEMS,nan,nan,nan,PRINCIPLES OF DESIGN
SPATIAL DATA SCIENCE,nan,nan,nan,PRINCIPLES OF WEB DESIGN
GIS,nan,nan,nan,WEB DESIGN
DATA ANALYTICS,nan,nan,nan,ANDROID APP DEVELOPMENT
